datetime,temp_avg,humidity,rain,area
2015-1-9 0:00,14,53,0,Area1
2015-1-9 0:15,14,53,0,Area1
2015-1-9 0:30,14,53,0,Area1
2015-1-9 0:45,14,53,0,Area1
2015-1-9 1:00,14,53,0,Area1
2015-1-9 1:15,14,53,0,Area1
2015-1-9 1:30,14,53,0,Area1
2015-1-9 1:45,14,53,0,Area1
2015-1-9 2:00,14,53,0,Area1
2015-1-9 2:15,14,53,0,Area1
2015-1-9 2:30,14,53,0,Area1
2015-1-9 2:45,14,53,0,Area1
2015-1-9 3:00,14,53,0,Area1
2015-1-9 3:15,14,53,0,Area1
2015-1-9 3:30,14,53,0,Area1
2015-1-9 3:45,14,53,0,Area1
2015-1-9 4:00,14,53,0,Area1
2015-1-9 4:15,14,53,0,Area1
2015-1-9 4:30,14,53,0,Area1
2015-1-9 4:45,14,53,0,Area1
2015-1-9 5:00,14,53,0,Area1
2015-1-9 5:15,14,53,0,Area1
2015-1-9 5:30,14,53,0,Area1
2015-1-9 5:45,14,53,0,Area1
2015-1-9 6:00,14,53,0,Area1
2015-1-9 6:15,14,53,0,Area1
2015-1-9 6:30,14,53,0,Area1
2015-1-9 6:45,14,53,0,Area1
2015-1-9 7:00,14,53,0,Area1
2015-1-9 7:15,14,53,0,Area1
2015-1-9 7:30,14,53,0,Area1
2015-1-9 7:45,14,53,0,Area1
2015-1-9 8:00,14,53,0,Area1
2015-1-9 8:15,14,53,0,Area1
2015-1-9 8:30,14,53,0,Area1
2015-1-9 8:45,14,53,0,Area1
2015-1-9 9:00,14,53,0,Area1
2015-1-9 9:15,14,53,0,Area1
2015-1-9 9:30,14,53,0,Area1
2015-1-9 9:45,14,53,0,Area1
2015-1-9 10:00,14,53,0,Area1
2015-1-9 10:15,14,53,0,Area1
2015-1-9 10:30,14,53,0,Area1
2015-1-9 10:45,14,53,0,Area1
2015-1-9 11:00,14,53,0,Area1
2015-1-9 11:15,14,53,0,Area1
2015-1-9 11:30,14,53,0,Area1
2015-1-9 11:45,14,53,0,Area1
2015-1-9 12:00,14,53,0,Area1
2015-1-9 12:15,14,53,0,Area1
2015-1-9 12:30,14,53,0,Area1
2015-1-9 12:45,14,53,0,Area1
2015-1-9 13:00,14,53,0,Area1
2015-1-9 13:15,14,53,0,Area1
2015-1-9 13:30,14,53,0,Area1
2015-1-9 13:45,14,53,0,Area1
2015-1-9 14:00,14,53,0,Area1
2015-1-9 14:15,14,53,0,Area1
2015-1-9 14:30,14,53,0,Area1
2015-1-9 14:45,14,53,0,Area1
2015-1-9 15:00,14,53,0,Area1
2015-1-9 15:15,14,53,0,Area1
2015-1-9 15:30,14,53,0,Area1
2015-1-9 15:45,14,53,0,Area1
2015-1-9 16:00,14,53,0,Area1
2015-1-9 16:15,14,53,0,Area1
2015-1-9 16:30,14,53,0,Area1
2015-1-9 16:45,14,53,0,Area1
2015-1-9 17:00,14,53,0,Area1
2015-1-9 17:15,14,53,0,Area1
2015-1-9 17:30,14,53,0,Area1
2015-1-9 17:45,14,53,0,Area1
2015-1-9 18:00,14,53,0,Area1
2015-1-9 18:15,14,53,0,Area1
2015-1-9 18:30,14,53,0,Area1
2015-1-9 18:45,14,53,0,Area1
2015-1-9 19:00,14,53,0,Area1
2015-1-9 19:15,14,53,0,Area1
2015-1-9 19:30,14,53,0,Area1
2015-1-9 19:45,14,53,0,Area1
2015-1-9 20:00,14,53,0,Area1
2015-1-9 20:15,14,53,0,Area1
2015-1-9 20:30,14,53,0,Area1
2015-1-9 20:45,14,53,0,Area1
2015-1-9 21:00,14,53,0,Area1
2015-1-9 21:15,14,53,0,Area1
2015-1-9 21:30,14,53,0,Area1
2015-1-9 21:45,14,53,0,Area1
2015-1-9 22:00,14,53,0,Area1
2015-1-9 22:15,14,53,0,Area1
2015-1-9 22:30,14,53,0,Area1
2015-1-9 22:45,14,53,0,Area1
2015-1-9 23:00,14,53,0,Area1
2015-1-9 23:15,14,53,0,Area1
2015-1-9 23:30,14,53,0,Area1
2015-1-9 23:45,14,53,0,Area1
