datetime,load,temp_avg,humidity,rain,area
2015-01-09 00:00:00,5557.415776,14.0,53.0,0.0,Area1
2015-01-09 00:15:00,5451.446368,14.0,53.0,0.0,Area1
2015-01-09 00:30:00,5371.56112,14.0,53.0,0.0,Area1
2015-01-09 00:45:00,5322.329728,14.0,53.0,0.0,Area1
2015-01-09 01:00:00,5257.247488,14.0,53.0,0.0,Area1
2015-01-09 01:15:00,5242.227328,14.0,53.0,0.0,Area1
2015-01-09 01:30:00,5175.870112,14.0,53.0,0.0,Area1
2015-01-09 01:45:00,5136.051232,14.0,53.0,0.0,Area1
2015-01-09 02:00:00,5112.390592,14.0,53.0,0.0,Area1
2015-01-09 02:15:00,5086.210912,14.0,53.0,0.0,Area1
2015-01-09 02:30:00,5038.18,14.0,53.0,0.0,Area1
2015-01-09 02:45:00,5018.304064,14.0,53.0,0.0,Area1
2015-01-09 03:00:00,4976.953792,14.0,53.0,0.0,Area1
2015-01-09 03:15:00,4945.088128,14.0,53.0,0.0,Area1
2015-01-09 03:30:00,4927.155136,14.0,53.0,0.0,Area1
2015-01-09 03:45:00,4918.576576,14.0,53.0,0.0,Area1
2015-01-09 04:00:00,4887.554656,14.0,53.0,0.0,Area1
2015-01-09 04:15:00,4874.57968,14.0,53.0,0.0,Area1
2015-01-09 04:30:00,4853.148448,14.0,53.0,0.0,Area1
2015-01-09 04:45:00,4858.386208,14.0,53.0,0.0,Area1
2015-01-09 05:00:00,4841.274016,14.0,53.0,0.0,Area1
2015-01-09 05:15:00,4885.808608,14.0,53.0,0.0,Area1
2015-01-09 05:30:00,4890.553792,14.0,53.0,0.0,Area1
2015-01-09 05:45:00,4920.817216,14.0,53.0,0.0,Area1
2015-01-09 06:00:00,4961.424064,14.0,53.0,0.0,Area1
2015-01-09 06:15:00,5066.172352,14.0,53.0,0.0,Area1
2015-01-09 06:30:00,5148.550432,14.0,53.0,0.0,Area1
2015-01-09 06:45:00,5269.983424,14.0,53.0,0.0,Area1
2015-01-09 07:00:00,5426.011552,14.0,53.0,0.0,Area1
2015-01-09 07:15:00,5694.51856,14.0,53.0,0.0,Area1
2015-01-09 07:30:00,5899.567168,14.0,53.0,0.0,Area1
2015-01-09 07:45:00,6258.050272,14.0,53.0,0.0,Area1
2015-01-09 08:00:00,7036.767328,14.0,53.0,0.0,Area1
2015-01-09 08:15:00,8012.035936,14.0,53.0,0.0,Area1
2015-01-09 08:30:00,8313.670048,14.0,53.0,0.0,Area1
2015-01-09 08:45:00,8545.783744,14.0,53.0,0.0,Area1
2015-01-09 09:00:00,8651.175616,14.0,53.0,0.0,Area1
2015-01-09 09:15:00,8732.193472,14.0,53.0,0.0,Area1
2015-01-09 09:30:00,8782.887808,14.0,53.0,0.0,Area1
2015-01-09 09:45:00,8867.992192,14.0,53.0,0.0,Area1
2015-01-09 10:00:00,8899.66192,14.0,53.0,0.0,Area1
2015-01-09 10:15:00,8951.527168,14.0,53.0,0.0,Area1
2015-01-09 10:30:00,8988.852832,14.0,53.0,0.0,Area1
2015-01-09 10:45:00,9000.56032,14.0,53.0,0.0,Area1
2015-01-09 11:00:00,8984.14192,14.0,53.0,0.0,Area1
2015-01-09 11:15:00,8958.856576,14.0,53.0,0.0,Area1
2015-01-09 11:30:00,8787.244384,14.0,53.0,0.0,Area1
2015-01-09 11:45:00,8348.485024,14.0,53.0,0.0,Area1
2015-01-09 12:00:00,7291.387648,14.0,53.0,0.0,Area1
2015-01-09 12:15:00,6645.054976,14.0,53.0,0.0,Area1
2015-01-09 12:30:00,6605.926048,14.0,53.0,0.0,Area1
2015-01-09 12:45:00,6582.048448,14.0,53.0,0.0,Area1
2015-01-09 13:00:00,6637.049728,14.0,53.0,0.0,Area1
2015-01-09 13:15:00,6809.242144,14.0,53.0,0.0,Area1
2015-01-09 13:30:00,7307.95984,14.0,53.0,0.0,Area1
2015-01-09 13:45:00,8125.789408,14.0,53.0,0.0,Area1
2015-01-09 14:00:00,8309.355616,14.0,53.0,0.0,Area1
2015-01-09 14:15:00,8476.865344,14.0,53.0,0.0,Area1
2015-01-09 14:30:00,8498.315296,14.0,53.0,0.0,Area1
2015-01-09 14:45:00,8512.8016,14.0,53.0,0.0,Area1
2015-01-09 15:00:00,8514.516256,14.0,53.0,0.0,Area1
2015-01-09 15:15:00,8581.00096,14.0,53.0,0.0,Area1
2015-01-09 15:30:00,8629.252192,14.0,53.0,0.0,Area1
2015-01-09 15:45:00,8681.065984,14.0,53.0,0.0,Area1
2015-01-09 16:00:00,8767.175296,14.0,53.0,0.0,Area1
2015-01-09 16:15:00,8789.143744,14.0,53.0,0.0,Area1
2015-01-09 16:30:00,8804.394976,14.0,53.0,0.0,Area1
2015-01-09 16:45:00,8812.18,14.0,53.0,0.0,Area1
2015-01-09 17:00:00,8715.350272,14.0,53.0,0.0,Area1
2015-01-09 17:15:00,8582.19904,14.0,53.0,0.0,Area1
2015-01-09 17:30:00,8058.694336,14.0,53.0,0.0,Area1
2015-01-09 17:45:00,7647.453952,14.0,53.0,0.0,Area1
2015-01-09 18:00:00,7652.943904,14.0,53.0,0.0,Area1
2015-01-09 18:15:00,7964.06032,14.0,53.0,0.0,Area1
2015-01-09 18:30:00,8230.584064,14.0,53.0,0.0,Area1
2015-01-09 18:45:00,8501.616256,14.0,53.0,0.0,Area1
2015-01-09 19:00:00,8555.233792,14.0,53.0,0.0,Area1
2015-01-09 19:15:00,8568.190912,14.0,53.0,0.0,Area1
2015-01-09 19:30:00,8487.99808,14.0,53.0,0.0,Area1
2015-01-09 19:45:00,8409.762784,14.0,53.0,0.0,Area1
2015-01-09 20:00:00,8271.125344,14.0,53.0,0.0,Area1
2015-01-09 20:15:00,8269.851232,14.0,53.0,0.0,Area1
